Language,Country,Region/State,City,Category,Subcategory,Provider,Vocalizing,URL
EN,USA,,,Top Headlines,,USA Today,USA Today,http://rssfeeds.usatoday.com/usatoday-NewsTopStories
EN,USA,,,National,,USA Today,USA Today,http://rssfeeds.usatoday.com/UsatodaycomNation-TopStories
EN,USA,DC,Washington,Washington,,USA Today,USA Today,http://rssfeeds.usatoday.com/UsatodaycomWashington-TopStories
EN,USA,,,World,,USA Today,USA Today,http://rssfeeds.usatoday.com/UsatodaycomWorld-TopStories
EN,USA,,,Opinion,,USA Today,USA Today,http://rssfeeds.usatoday.com/News-Opinion
EN,USA,,,Sports Headlines,Sports,USA Today,USA Today,http://rssfeeds.usatoday.com/UsatodaycomSports-TopStories
EN,USA,,,NFL,Sports,USA Today,USA Today,http://rssfeeds.usatoday.com/UsatodaycomNfl-TopStories
EN,USA,,,NCAAF,Sports,USA Today,USA Today,http://rssfeeds.usatoday.com/UsatodaycomCollegeFootball-TopStories
EN,USA,,,MLB,Sports,USA Today,USA Today,http://rssfeeds.usatoday.com/UsatodaycomMlb-TopStories
EN,USA,,,NBA,Sports,USA Today,USA Today,http://rssfeeds.usatoday.com/UsatodaycomNba-TopStories
EN,USA,,,Golf,Sports,USA Today,USA Today,http://rssfeeds.usatoday.com/UsatodaycomGolf-TopStories
EN,USA,,,Fantasy,Sports,USA Today,USA Today,http://rssfeeds.usatoday.com/topfantasy
EN,USA,,,NHL,Sports,USA Today,USA Today,http://rssfeeds.usatoday.com/UsatodaycomNhl-TopStories
EN,USA,,,NCAAB,Sports,USA Today,USA Today,http://rssfeeds.usatoday.com/UsatodaycomCollegeMensBasketball-TopStories
EN,USA,,,Soccer,Sports,USA Today,USA Today,http://rssfeeds.usatoday.com/UsatodaycomSoccer-TopStories
EN,USA,,,Motor Sports,Sports,USA Today,USA Today,http://rssfeeds.usatoday.com/topmotorsports
EN,USA,,,Tennis,Sports,USA Today,USA Today,http://rssfeeds.usatoday.com/UsatodayTennis-TopStories
EN,USA,,,Cycling,Sports,USA Today,USA Today,http://rssfeeds.usatoday.com/UsatodayCycling-TopStories
EN,USA,,,Olympics,Sports,USA Today,USA Today,http://rssfeeds.usatoday.com/UsatodaycomOlympicsCoverage-TopStories
EN,USA,,,All Entertainment Headlines,life,USA Today,USA Today,http://rssfeeds.usatoday.com/usatoday-LifeTopStories
EN,USA,,,People,life,USA Today,USA Today,http://rssfeeds.usatoday.com/toppeople
EN,USA,,,Movies,life,USA Today,USA Today,http://rssfeeds.usatoday.com/UsatodaycomMovies-TopStories
EN,USA,,,Music,life,USA Today,USA Today,http://rssfeeds.usatoday.com/UsatodaycomMusic-TopStories
