Language,Country,Region/State,City,Category,Subcategory,Provider,Vocalizing,URL
ES,CHILE,,,TODAS LAS NOTICIAS,,EL MOSTRADOR,EL MOSTRADOR,http://cl.elmostrador.feedsportal.com/c/33501/f/584528/index.rss
ES,CHILE,,,TEMAS DESTACADOS,,EL MOSTRADOR,EL MOSTRADOR,http://www.elmostrador.cl/destacado/feed/
ES,CHILE,,,EL DÍA,,EL MOSTRADOR,EL MOSTRADOR,http://www.elmostrador.cl/dia/feed/
ES,CHILE,,,PAÍS,,EL MOSTRADOR,EL MOSTRADOR,http://www.elmostrador.cl/noticias/pais/feed/
ES,CHILE,,,MUNDO,,EL MOSTRADOR,EL MOSTRADOR,http://www.elmostrador.cl/noticias/mundo/feed/
ES,CHILE,,,NEGOCIOS,,EL MOSTRADOR,EL MOSTRADOR,http://www.elmostrador.cl/noticias/negocios/feed/
ES,CHILE,,,CULTURA,,EL MOSTRADOR,EL MOSTRADOR,http://www.elmostrador.cl/noticias/cultura/feed/
ES,CHILE,,,VIDA EN LÍNEA,,EL MOSTRADOR,EL MOSTRADOR,http://www.elmostrador.cl/vida-en-linea/feed/
ES,CHILE,,,OPINIÓN Y BLOGS,,EL MOSTRADOR,EL MOSTRADOR,http://www.elmostrador.cl/opinion/feed/
ES,CHILE,,,SIN EDITAR,,EL MOSTRADOR,EL MOSTRADOR,http://www.elmostrador.cl/sin-editar/feed/
ES,CHILE,,,KIOSKO,,EL MOSTRADOR,EL MOSTRADOR,http://www.elmostrador.cl/kiosko/feed/
ES,CHILE,,,LA SELECCIÓN,,EL MOSTRADOR,EL MOSTRADOR,http://www.elmostrador.cl/seleccion/feed/
ES,CHILE,,,AGENCIA CHILE NOTICIAS,,AGENCIA CHILE NOTICIAS,AGENCIA CHILE NOTICIAS,http://www.chilenoticias.cl/?feed=rss2
ES,CHILE,,,THE CLINIC,,THE CLINIC,THE CLINIC,http://www.theclinic.cl/feed/
ES,CHILE,,,PODER,,THE CLINIC,THE CLINIC,http://www.theclinic.cl/poder/feed/
ES,CHILE,,,CHILEAN NEWS,,THE CLINIC,THE CLINIC,http://www.theclinic.cl/chilean-news/feed/
ES,CHILE,,,WEBEO,,THE CLINIC,THE CLINIC,http://www.theclinic.cl/webeo/feed/
ES,CHILE,,,COLUMNAS Y ENTREVISTAS,,THE CLINIC,THE CLINIC,http://www.theclinic.cl/columnas-y-entrevistas/feed/
ES,CHILE,,,LA CALLE,,THE CLINIC,THE CLINIC,http://www.theclinic.cl/la-calle/feed/
ES,CHILE,,,MUNDO AL INSTANTE,,THE CLINIC,THE CLINIC,http://www.theclinic.cl/mundo-al-instante/feed/
ES,CHILE,,,VERDE,,THE CLINIC,THE CLINIC,http://www.theclinic.cl/verde/feed/
ES,CHILE,,,DEPORTES,,THE CLINIC,THE CLINIC,http://www.theclinic.cl/deportes/feed/
ES,CHILE,,,CULTURA,,THE CLINIC,THE CLINIC,http://www.theclinic.cl/cultura/feed/
