Language,Country,Region/State,City,Category,Subcategory,Provider,Vocalizing,URL
ES,ESPAÑA,,Madrid,ESPAÑA,ACTUALIDAD,El Confidencial,El Confidencial,http://rss.elconfidencial.com/espana/
ES,ESPAÑA,,Madrid,MUNDO,ACTUALIDAD,El Confidencial,El Confidencial,http://rss.elconfidencial.com/mundo/
ES,ESPAÑA,,Madrid,COMUNICACIÓN,ACTUALIDAD,El Confidencial,El Confidencial,http://rss.elconfidencial.com/comunicacion/
ES,ESPAÑA,,Madrid,SOCIEDAD,ACTUALIDAD,El Confidencial,El Confidencial,http://rss.elconfidencial.com/sociedad/
ES,ESPAÑA,,Madrid,OPINIÓN,OPINIÓN,El Confidencial,El Confidencial,http://rss.blogs.elconfidencial.com/
ES,ESPAÑA,,Madrid,A.CASADO,OPINIÓN,El Confidencial,El Confidencial,http://rss.blogs.elconfidencial.com/espana/al-grano/
ES,ESPAÑA,,Madrid,J.A.ZARZALEJOS,OPINIÓN,El Confidencial,El Confidencial,http://rss.blogs.elconfidencial.com/espana/notebook/
ES,ESPAÑA,,Madrid,C.SÁNCHEZ,OPINIÓN,El Confidencial,El Confidencial,http://rss.blogs.elconfidencial.com/espana/mientras-tanto/
ES,ESPAÑA,,Madrid,EL CONFIDENTE,OPINIÓN,El Confidencial,El Confidencial,http://rss.blogs.elconfidencial.com/espana/el-confidente/
ES,ESPAÑA,,Madrid,MERCADOS,COTIZALIA,El Confidencial,El Confidencial,http://rss.elconfidencial.com/mercados/
ES,ESPAÑA,,Madrid,ECONOMÍA,COTIZALIA,El Confidencial,El Confidencial,http://rss.elconfidencial.com/economia-y-mercados/
ES,ESPAÑA,,Madrid,EMPRESAS,COTIZALIA,El Confidencial,El Confidencial,http://rss.elconfidencial.com/empresas/
ES,ESPAÑA,,Madrid,FINANZAS PERSONALES,COTIZALIA,El Confidencial,El Confidencial,http://rss.elconfidencial.com/mercados/finanzas-personales/
ES,ESPAÑA,,Madrid,VIVIENDA,COTIZALIA,El Confidencial,El Confidencial,http://rss.elconfidencial.com/vivienda
ES,ESPAÑA,,Madrid,FONDOS DE INVERSIÓN,COTIZALIA,El Confidencial,El Confidencial,http://rss.elconfidencial.com/mercados/fondos-de-inversion/
ES,ESPAÑA,,Madrid,TEKNAUTAS,TEKNAUTAS,El Confidencial,El Confidencial,http://rss.elconfidencial.com/tecnologia/
ES,ESPAÑA,,Madrid,APLICACIONES,TEKNAUTAS,El Confidencial,El Confidencial,http://rss.elconfidencial.com/tags/temas/apps-9337/
ES,ESPAÑA,,Madrid,GADGETS,TEKNAUTAS,El Confidencial,El Confidencial,http://rss.elconfidencial.com/tags/temas/gadgets-9340/
ES,ESPAÑA,,Madrid,HARDWARE,TEKNAUTAS,El Confidencial,El Confidencial,http://rss.elconfidencial.com/tags/temas/hardware-9341/
ES,ESPAÑA,,Madrid,INTERNET,TEKNAUTAS,El Confidencial,El Confidencial,http://rss.elconfidencial.com/tags/temas/internet-9342/
ES,ESPAÑA,,Madrid,DEPORTES,DEPORTES,El Confidencial,El Confidencial,http://rss.elconfidencial.com/deportes/
ES,ESPAÑA,,Madrid,FÚTBOL,DEPORTES,El Confidencial,El Confidencial,http://rss.elconfidencial.com/deportes/futbol/
ES,ESPAÑA,,Madrid,BALONCESTO,DEPORTES,El Confidencial,El Confidencial,http://rss.elconfidencial.com/deportes/baloncesto/
ES,ESPAÑA,,Madrid,FÓRMULA 1,DEPORTES,El Confidencial,El Confidencial,http://rss.elconfidencial.com/deportes/formula-1/
ES,ESPAÑA,,Madrid,MOTOCICLISMO,DEPORTES,El Confidencial,El Confidencial,http://rss.elconfidencial.com/deportes/motociclismo/
ES,ESPAÑA,,Madrid,TENIS,DEPORTES,El Confidencial,El Confidencial,http://rss.elconfidencial.com/deportes/tenis/
ES,ESPAÑA,,Madrid,CICLISMO,DEPORTES,El Confidencial,El Confidencial,http://rss.elconfidencial.com/deportes/ciclismo/
ES,ESPAÑA,,Madrid,GOLF,DEPORTES,El Confidencial,El Confidencial,http://rss.elconfidencial.com/deportes/golf/
ES,ESPAÑA,,Madrid,OTROS DEPORTES,DEPORTES,El Confidencial,El Confidencial,http://rss.elconfidencial.com/deportes/otros-deportes/
ES,ESPAÑA,,Madrid,ACV,ACV,El Confidencial,El Confidencial,http://rss.elconfidencial.com/alma-corazon-y-vida/
ES,ESPAÑA,,Madrid,ALIMENTACIÓN,ACV,El Confidencial,El Confidencial,http://rss.elconfidencial.com/tags/otros/alimentacion-5601/
ES,ESPAÑA,,Madrid,BIENESTAR,ACV,El Confidencial,El Confidencial,http://rss.elconfidencial.com/tags/temas/bienestar-9331/
ES,ESPAÑA,,Madrid,TRABAJO,ACV,El Confidencial,El Confidencial,http://rss.elconfidencial.com/tags/temas/trabajo-5284/
ES,ESPAÑA,,Madrid,CULTURA,CULTURA,El Confidencial,El Confidencial,http://rss.elconfidencial.com/cultura/
ES,ESPAÑA,,Madrid,CINE,CULTURA,El Confidencial,El Confidencial,http://rss.elconfidencial.com/tags/temas/cine-7354/
ES,ESPAÑA,,Madrid,ESCENA,CULTURA,El Confidencial,El Confidencial,http://rss.elconfidencial.com/tags/temas/escena-9351/
ES,ESPAÑA,,Madrid,ACTUALIDAD,VANITATIS,El Confidencial,El Confidencial,http://rss.vanitatis.elconfidencial.com/noticias/
ES,ESPAÑA,,Madrid,TENDENCIAS,VANITATIS,El Confidencial,El Confidencial,http://rss.vanitatis.elconfidencial.com/tendencias/
ES,ESPAÑA,,Madrid,CINE Y TV,VANITATIS,El Confidencial,El Confidencial,http://rss.vanitatis.elconfidencial.com/cine-tv/
ES,ESPAÑA,,Madrid,CASAS REALES,VANITATIS,El Confidencial,El Confidencial,http://rss.vanitatis.elconfidencial.com/casas-reales/
ES,ESPAÑA,,Madrid,BLOGS,VANITATIS,El Confidencial,El Confidencial,http://rss.blogs.vanitatis.elconfidencial.com/
ES,ESPAÑA,,Madrid,España,Ediciones,El País,El País,http://ep00.epimg.net/rss/elpais/portada.xml
ES,ESPAÑA,,Madrid,América,Ediciones,El País,El País,http://ep00.epimg.net/rss/elpais/portada_america.xml
ES,ESPAÑA,,Madrid,Lo último,Titulares,El País,El País,http://ep00.epimg.net/rss/tags/ultimas_noticias.xml
ES,ESPAÑA,,Madrid,Lo más visto,Titulares,El País,El País,http://ep00.epimg.net/rss/tags/noticias_mas_vistas.xml
ES,ESPAÑA,,Madrid,Internacional,Internacional,El País,El País,http://ep00.epimg.net/rss/internacional/portada.xml
ES,ESPAÑA,,Madrid,América latina,Internacional,El País,El País,http://elpais.com/tag/rss/latinoamerica/a/
ES,ESPAÑA,,Madrid,México,Internacional,El País,El País,http://elpais.com/tag/rss/mexico/a/
ES,ESPAÑA,,Madrid,Europa,Internacional,El País,El País,http://elpais.com/tag/rss/europa/a/
ES,ESPAÑA,,Madrid,Estados Unidos,Internacional,El País,El País,elpais.com/tag/rss/estados_unidos/a/
ES,ESPAÑA,,Madrid,Oriente próximo,Internacional,El País,El País,http://elpais.com/tag/rss/oriente_proximo/a/
ES,ESPAÑA,,Madrid,Sociedad,Sociedad,El País,El País,http://ep00.epimg.net/rss/sociedad/portada.xml
ES,ESPAÑA,,Madrid,Educación,Sociedad,El País,El País,http://elpais.com/tag/rss/educacion/a/
ES,ESPAÑA,,Madrid,Religión,Sociedad,El País,El País,http://elpais.com/tag/rss/religion/a/
ES,ESPAÑA,,Madrid,Deportes,Deportes,El País,El País,http://ep00.epimg.net/rss/deportes/portada.xml
ES,ESPAÑA,,Madrid,Fútbol,Deportes,El País,El País,http://elpais.com/tag/rss/futbol/a/
ES,ESPAÑA,,Madrid,Motor,Deportes,El País,El País,http://elpais.com/tag/rss/deportes_motor/a/
ES,ESPAÑA,,Madrid,Baloncesto,Deportes,El País,El País,http://elpais.com/tag/rss/baloncesto/a/
ES,ESPAÑA,,Madrid,Ciclismo,Deportes,El País,El País,http://elpais.com/tag/rss/ciclismo/a/
ES,ESPAÑA,,Madrid,Tenis,Deportes,El País,El País,http://elpais.com/tag/rss/tenis/a/
ES,ESPAÑA,,Madrid,Andalucía,,El País,El País,http://ep00.epimg.net/rss/ccaa/andalucia.xml
ES,ESPAÑA,,Madrid,Cataluña,,El País,El País,http://ep00.epimg.net/rss/ccaa/catalunya.xml
ES,ESPAÑA,,Madrid,Comunidad Valenciana,,El País,El País,http://ep00.epimg.net/rss/ccaa/valencia.xml
ES,ESPAÑA,,Madrid,Madrid,,El País,El País,http://ep00.epimg.net/rss/ccaa/madrid.xml
ES,ESPAÑA,,Madrid,País Vasco,,El País,El País,http://ep00.epimg.net/rss/ccaa/paisvasco.xml
ES,ESPAÑA,,Madrid,Galicia,,El País,El País,http://ep00.epimg.net/rss/ccaa/galicia.xml
ES,ESPAÑA,,Madrid,Cultura,Cultura,El País,El País,http://ep00.epimg.net/rss/cultura/portada.xml
ES,ESPAÑA,,Madrid,Arte,Cultura,El País,El País,http://elpais.com/tag/rss/arte/a/
ES,ESPAÑA,,Madrid,Música,Cultura,El País,El País,http://elpais.com/tag/rss/musica/a/
ES,ESPAÑA,,Madrid,Cine,Cultura,El País,El País,http://elpais.com/tag/rss/cine/a/
ES,ESPAÑA,,Madrid,Literatura,Cultura,El País,El País,http://elpais.com/tag/rss/libros/a/
ES,ESPAÑA,,Madrid,Moda,Cultura,El País,El País,http://elpais.com/tag/rss/moda/a/
ES,ESPAÑA,,Madrid,Ciencia,,El País,El País,http://ep00.epimg.net/rss/tags/c_ciencia.xml
ES,ESPAÑA,,Madrid,Justicia y leyes,,El País,El País,http://elpais.com/tag/rss/justicia/a/
ES,ESPAÑA,,Madrid,Guerras y conflictos,,El País,El País,http://elpais.com/tag/rss/conflictos/a/
ES,ESPAÑA,,Madrid,Medio ambiente,,El País,El País,http://elpais.com/tag/rss/medio_ambiente/a/
ES,ESPAÑA,,Madrid,Meteorología,,El País,El País,http://elpais.com/tag/rss/meteorologia/a/
ES,ESPAÑA,,Madrid,Política,,El País,El País,http://ep00.epimg.net/rss/politica/portada.xml
ES,ESPAÑA,,Madrid,Salud,,El País,El País,http://elpais.com/tag/rss/salud/a/
ES,ESPAÑA,,Madrid,Ocio,,El País,El País,http://elpais.com/tag/rss/ocio/a/
ES,ESPAÑA,,Madrid,Blogs,,El País,El País,http://ep01.epimg.net/rss/elpais/blogs.xml
ES,ESPAÑA,,Madrid,Entrevistas Digitales,,El País,El País,http://ep00.epimg.net/rss/elpais/entrevistasdigitales.xml
ES,ESPAÑA,,Madrid,Caras del día,Multimedia,El País,El País,http://elpais.com/rss/elpais/OLDpcom/feed_feedId_17076.xml
ES,ESPAÑA,,Madrid,Últimas fotos,Multimedia,El País,El País,http://elpais.com/tag/rss/albumes/a/
ES,ESPAÑA,,Madrid,Vídeos del día,Multimedia,El País,El País,http://ep00.epimg.net/rss/tags/o_video.xml
ES,ESPAÑA,,Madrid,Vídeos más valorados,Multimedia,El País,El País,http://ep01.epimg.net/rss/elpais/videos.xml
ES,ESPAÑA,,Madrid,Viñetas,Multimedia,El País,El País,http://elpais.com/tag/c/rss/ec7a643a2efd84d02c5948f7a9c86aa7
ES,ESPAÑA,,Madrid,Forges,Multimedia,El País,El País,http://ep00.epimg.net/rss/tags/a_antonio_fraguas_forges_a.xml
ES,ESPAÑA,,Barcelona,La Vanguardia,,La Vanguardia,La Vanguardia,http://feeds.feedburner.com/lavanguardia/home
ES,ESPAÑA,,Barcelona,Portada,RSS Noticias ,El Periódico,El Periódico,http://www.elperiodico.com/es/rss/rss_portada.xml
ES,ESPAÑA,,Barcelona,Opinión,RSS Noticias ,El Periódico,El Periódico,http://www.elperiodico.com/es/rss/opinion/rss.xml
ES,ESPAÑA,,Barcelona,Internacional,RSS Noticias ,El Periódico,El Periódico,http://www.elperiodico.com/es/rss/internacional/rss.xml
