Language,Country,Region/State,City,Category,Subcategory,Provider,Vocalizing,URL
ES,USA,,,ESTADOS UNIDOS,,Human Rights Watch,Human Rights Watch,http://www.hrw.org/es/rss/taxonomy/12
ES,USA,,,ARMAS,,Human Rights Watch,Human Rights Watch,http://www.hrw.org/es/rss/taxonomy/667
ES,USA,,,NEGOCIOS,,Human Rights Watch,Human Rights Watch,http://www.hrw.org/es/rss/taxonomy/668
ES,USA,,,DERECHOS DEL NIÑO,,Human Rights Watch,Human Rights Watch,http://www.hrw.org/es/rss/taxonomy/669
ES,USA,,,CONTRATERRORISMO,,Human Rights Watch,Human Rights Watch,http://www.hrw.org/es/rss/taxonomy/670
ES,USA,,,DERECHOS DE PERSONAS CON DISCAPACIDAD,,Human Rights Watch,Human Rights Watch,http://www.hrw.org/es/rss/taxonomy/700
ES,USA,,,MEDIO AMBIENTE,,Human Rights Watch,Human Rights Watch,http://www.hrw.org/es/rss/taxonomy/735
ES,USA,,,SALUD,,Human Rights Watch,Human Rights Watch,http://www.hrw.org/es/rss/taxonomy/672
ES,USA,,,LIBERTAD DE EXPRECIÓN,,Human Rights Watch,Human Rights Watch,http://www.hrw.org/es/rss/taxonomy/737
ES,USA,,,"DERECHOS ECONOMICOS,SOCIALES & CULTURALES",,Human Rights Watch,Human Rights Watch,http://www.hrw.org/es/rss/taxonomy/671
ES,USA,,,JUSTICIA INTERNACIONAL,,Human Rights Watch,Human Rights Watch,http://www.hrw.org/es/rss/taxonomy/673
ES,USA,,,DERECHOS DE LGBT,,Human Rights Watch,Human Rights Watch,http://www.hrw.org/es/rss/taxonomy/674
ES,USA,,,MIGRACIÓN,,Human Rights Watch,Human Rights Watch,http://www.hrw.org/es/rss/taxonomy/675
ES,USA,,,REFUGIADOS,,Human Rights Watch,Human Rights Watch,http://www.hrw.org/es/rss/taxonomy/677
ES,USA,,,TERRORISMO,,Human Rights Watch,Human Rights Watch,http://www.hrw.org/es/rss/taxonomy/678
ES,USA,,,TORTURA,,Human Rights Watch,Human Rights Watch,http://www.hrw.org/es/rss/taxonomy/679
ES,USA,,,NACIONES UNIDAS,,Human Rights Watch,Human Rights Watch,http://www.hrw.org/es/rss/taxonomy/680
ES,USA,,,DERECHOS DE LA MUJER,,Human Rights Watch,Human Rights Watch,http://www.hrw.org/es/rss/taxonomy/681
