Language,Country,Region/State,City,Category,Subcategory,Provider,Vocalizing,URL
FR,France,,,Actualité à la Une,Actualité à la Une,Le Monde,Le Monde,http://rss.lemonde.fr/c/205/f/3050/index.rss
FR,France,,,Afrique : Toute l'actualité,Actualité internationale,Le Monde,Le Monde,http://www.lemonde.fr/afrique/rss_full.xml
FR,France,,,Amériques,Actualité internationale,Le Monde,Le Monde,http://www.lemonde.fr/ameriques/rss_full.xml
FR,France,,,Argent & Placements,Business,Le Monde,Le Monde,http://www.lemonde.fr/argent/rss_full.xml
FR,France,,,Asie-Pacifique,Actualité internationale,Le Monde,Le Monde,http://www.lemonde.fr/asie-pacifique/rss_full.xml
FR,France,,,Campus,Éducation,Le Monde,Le Monde,http://www.lemonde.fr/campus/rss_full.xml
FR,France,,,Crise financière,Économie,Le Monde,Le Monde,http://www.lemonde.fr/crise-financiere/rss_full.xml
FR,France,,,Culture,Culture,Le Monde,Le Monde,http://www.lemonde.fr/culture/rss_full.xml
FR,France,,,Disparitions,Nécrologie,Le Monde,Le Monde,http://www.lemonde.fr/disparitions/rss_full.xml
FR,France,,,Documents WikiLeaks,Actualité,Le Monde,Le Monde,http://www.lemonde.fr/documents-wikileaks/rss_full.xml
FR,France,,,Elections Régionales,Politique,Le Monde,Le Monde,http://www.lemonde.fr/elections-regionales/rss_full.xml
FR,France,,,Emploi,Business,Le Monde,Le Monde,http://www.lemonde.fr/emploi/rss_full.xml
FR,France,,,Enseignement supérieur,Éducation,Le Monde,Le Monde,http://www.lemonde.fr/enseignement-superieur/rss_full.xml
FR,France,,,Eté,Loisirs,Le Monde,Le Monde,http://www.lemonde.fr/ete/rss_full.xml
FR,France,,,Europe,Actualité,Le Monde,Le Monde,http://www.lemonde.fr/europe/rss_full.xml
FR,France,,,Européennes 2014,Actualité,Le Monde,Le Monde,http://www.lemonde.fr/europeennes-2014/rss_full.xml
FR,France,,,Festival de Cannes,Culture,Le Monde,Le Monde,http://www.lemonde.fr/festival-de-cannes/rss_full.xml
FR,France,,,Finances,Business,Le Monde,Le Monde,http://www.lemonde.fr/finance/rss_full.xml
FR,France,,,Flottes d'entreprise,,Le Monde,Le Monde,http://www.lemonde.fr/flottes-d-entreprise/rss_full.xml
FR,France,,,Idées,Blogs,Le Monde,Le Monde,http://www.lemonde.fr/idees/rss_full.xml
FR,France,,,Immobilier,Immobilier,Le Monde,Le Monde,http://www.lemonde.fr/immobilier/rss_full.xml
FR,France,,,International,Actualité internationale,Le Monde,Le Monde,http://www.lemonde.fr/international/rss_full.xml
FR,France,,,Japon,Actualité internationale,Le Monde,Le Monde,http://www.lemonde.fr/japon/rss_full.xml
FR,France,,,Jeux olympiques,Sports,Le Monde,Le Monde,http://www.lemonde.fr/jeux-olympiques/rss_full.xml
FR,France,,,Le Magazine,Style,Le Monde,Le Monde,http://www.lemonde.fr/le-magazine/rss_full.xml
FR,France,,,Les décodeurs,Actualité,Le Monde,Le Monde,http://www.lemonde.fr/les-decodeurs/rss_full.xml
FR,France,,,Libye,Actualité internationale,Le Monde,Le Monde,http://www.lemonde.fr/libye/rss_full.xml
FR,France,,,Livres,Culture,Le Monde,Le Monde,http://www.lemonde.fr/livres/rss_full.xml
FR,France,,,Mobilité,,Le Monde,Le Monde,http://www.lemonde.fr/mobilite/rss_full.xml
