Language,Country,Region/State,City,Category,Subcategory,Provider,Vocalizing,URL
EN,IT&VC&Tech,,,News,,CNet,C Net,http://www.cnet.com/rss/news/
EN,IT&VC&Tech,,,Reviews,,CNet,C Net,http://www.cnet.com/rss/reviews/
EN,IT&VC&Tech,,,Video,,CNet,C Net,http://www.cnet.com/rss/video/
EN,IT&VC&Tech,,,HowTo,,CNet,C Net,http://www.cnet.com/rss/how-to/
EN,IT&VC&Tech,,,Deals,,CNet,C Net,http://www.cnet.com/rss/deals/
EN,IT&VC&Tech,,,iPhone Update,,CNet,C Net,http://www.cnet.com/rss/iphone-update/
EN,IT&VC&Tech,,,Crave,,CNet,C Net,http://www.cnet.com/rss/crave/
EN,IT&VC&Tech,,,Car Tech,,CNet,C Net,http://www.cnet.com/rss/car-tech/
EN,IT&VC&Tech,,,Android Update,,CNet,C Net,http://www.cnet.com/rss/android-update/
EN,IT&VC&Tech,,,Gaming,,CNet,C Net,http://www.cnet.com/rss/gaming/
EN,IT&VC&Tech,,,Cheapskate,,CNet,C Net,http://www.cnet.com/rss/cheapskate/
EN,IT&VC&Tech,,,All of CNet,,CNet,C Net,http://www.cnet.com/rss/all/
EN,IT&VC&Tech,,,Podcasts,,CNet,C Net,http://www.cnet.com/cnet-podcasts/
EN,IT&VC&Tech,,,News,,Appleinsider,Apple insider,http://appleinsider.com.feedsportal.com/c/33975/f/616168/index.rss
EN,IT&VC&Tech,,,All Stories,,PCWorld,PC World,http://www.pcworld.com/index.rss
EN,IT&VC&Tech,,,Reviews,,PCWorld,PC World,http://www.pcworld.com/reviews/index.rss
EN,IT&VC&Tech,,,How-Tos,,PCWorld,PC World,http://www.pcworld.com/howto/index.rss
EN,IT&VC&Tech,,,Video,,PCWorld,PC World,http://www.pcworld.com/video/index.rss
EN,IT&VC&Tech,,,Download This,Columns,PCWorld,PC World,http://www.pcworld.com/column/download-this/index.rss
EN,IT&VC&Tech,,,Game On,Columns,PCWorld,PC World,http://www.pcworld.com/column/game-on/index.rss
EN,IT&VC&Tech,,,Hassle-Free PC,Columns,PCWorld,PC World,http://www.pcworld.com/column/hassle-free-pc/index.rss
EN,IT&VC&Tech,,,Go Social,Columns,PCWorld,PC World,http://www.pcworld.com/column/go-social/index.rss
EN,IT&VC&Tech,,,Linux Line,Columns,PCWorld,PC World,http://www.pcworld.com/column/linux-line/index.rss
EN,IT&VC&Tech,,,Net Work,Columns,PCWorld,PC World,http://www.pcworld.com/column/net-work/index.rss
EN,IT&VC&Tech,,,Security Alert,Columns,PCWorld,PC World,http://www.pcworld.com/column/security-alert/index.rss
EN,IT&VC&Tech,,,Simply Business,Columns,PCWorld,PC World,http://www.pcworld.com/column/simply-business/index.rss
EN,IT&VC&Tech,,,Business,Topics,PCWorld,PC World,http://www.pcworld.com/category/business/index.rss
EN,IT&VC&Tech,,,Security & privacy,Topics,PCWorld,PC World,http://www.pcworld.com/category/privacy/index.rss
EN,IT&VC&Tech,,,Windows,Topics,PCWorld,PC World,http://www.pcworld.com/category/windows/index.rss
