Language,Country,Region/State,City,Category,Subcategory,Provider,Vocalizing,URL
RU,Россия,,,Hi-Tech,,Habrahabr,Хабр,http://habrahabr.ru/rss/hubs/new/
RU,Россия,Северо-западный,Санкт-Петербург,Лента новостей,,Fontanka,Фонтанка,http://www.fontanka.ru/fontanka.rss
RU,Россия,Центральный,Москва,Лента новостей,,Yandex,Яндекс,http://news.yandex.ru/Moscow/index.rss
RU,Россия,,,Лента новостей,,Yandex,Яндекс,http://news.yandex.ru/index.rss
RU,Россия,,,Политика,,Yandex,Яндекс,http://news.yandex.ru/politics.rss
RU,Россия,,,В мире,,Yandex,Яндекс,http://news.yandex.ru/world.rss
RU,Россия,,,Общество,,Yandex,Яндекс,http://news.yandex.ru/society.rss
RU,Россия,,,Бизнес,,Yandex,Яндекс,http://news.yandex.ru/business.rss
RU,Россия,,,Спорт,,Yandex,Яндекс,http://news.yandex.ru/sport.rss
RU,Россия,,,Проишествия,,Yandex,Яндекс,http://news.yandex.ru/incident.rss
RU,Россия,,,Культура,,Yandex,Яндекс,http://news.yandex.ru/culture.rss
RU,Россия,,,Наука,,Yandex,Яндекс,http://news.yandex.ru/science.rss
RU,Россия,,,Hi-Tech,,Yandex,Яндекс,http://news.yandex.ru/computers.rss
RU,Россия,,,Интернет,,Yandex,Яндекс,http://news.yandex.ru/internet.rss
RU,Россия,,,Авто,,Yandex,Яндекс,http://news.yandex.ru/auto.rss
RU,Россия,,,В мире,,mail.ru,мэйл ру,http://news.mail.ru/rss/
RU,Россия,,,Главные новости,,mail.ru,мэйл ру,http://news.mail.ru/rss/main/
RU,Россия,,,Политика,,mail.ru,мэйл ру,http://news.mail.ru/rss/politics/
RU,Россия,,,Бизнес,,mail.ru,мэйл ру,http://news.mail.ru/rss/economics/
RU,Россия,,,Общество,,mail.ru,мэйл ру,http://news.mail.ru/rss/society/
RU,Россия,,,Проишествия,,mail.ru,мэйл ру,http://news.mail.ru/rss/incident/
RU,Россия,,,Культура,,mail.ru,мэйл ру,http://news.mail.ru/rss/culture/
RU,Россия,,,Спорт,,mail.ru,мэйл ру,http://news.mail.ru/rss/sport/
